instance,variant,client,service,service_impl
4,19,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ContainsRegex
4,20,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceRegex
4,21,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$Trim
5,1,org.apache.tools.ant.types.resources.Restrict,org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper,org.apache.tools.ant.types.resources.Restrict$1
6,1,org.apache.tools.ant.Main,org.apache.tools.ant.BuildLogger,org.apache.tools.ant.DefaultLogger
7,1,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ClassConstants
7,2,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.HeadFilter
7,3,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TailFilter
7,4,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ReplaceTokens
7,5,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.EscapeUnicode
7,6,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineComments
7,7,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ExpandProperties
7,8,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.PrefixLines
7,9,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$DeleteCharacters
7,10,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter
7,11,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContains
7,12,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripJavaComments
7,13,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TabsToSpaces
7,14,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContainsRegExp
7,15,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineBreaks
7,16,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceString
7,17,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$IgnoreBlank
7,18,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ContainsRegex
7,19,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceRegex
7,20,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$Trim
8,1,org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$ReplaceString
8,2,org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$IgnoreBlank
8,3,org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$ContainsRegex
8,4,org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$ReplaceRegex
8,5,org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$Trim
9,1,org.apache.tools.ant.types.XMLCatalog,org.apache.tools.ant.types.XMLCatalog$CatalogResolver,org.apache.tools.ant.types.XMLCatalog$ExternalResolver
9,2,org.apache.tools.ant.types.XMLCatalog,org.apache.tools.ant.types.XMLCatalog$CatalogResolver,org.apache.tools.ant.types.XMLCatalog$InternalResolver
10,1,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ClassConstants
10,2,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.HeadFilter
10,3,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TailFilter
10,4,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ReplaceTokens
10,5,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.EscapeUnicode
10,6,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineComments
10,7,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ExpandProperties
10,8,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.PrefixLines
10,9,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$DeleteCharacters
10,10,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter
10,11,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContains
10,12,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripJavaComments
10,13,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TabsToSpaces
10,14,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContainsRegExp
10,15,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineBreaks
10,16,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceString
10,17,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$IgnoreBlank
10,18,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ContainsRegex
10,19,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceRegex
10,20,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$Trim
11,1,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.StripJavaComments
11,2,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.ExpandProperties
11,3,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.TokenFilter$DeleteCharacters$1
11,4,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.TokenFilter
11,5,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.ClassConstants
11,6,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.PrefixLines
11,7,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.LineContains
11,8,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.StripLineBreaks
11,9,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.EscapeUnicode
11,10,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.HeadFilter
11,11,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.TailFilter
11,12,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.ReplaceTokens
11,13,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.LineContainsRegExp
11,14,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.TabsToSpaces
11,15,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.ant.filters.StripLineComments
12,1,org.apache.tools.ant.types.Assertions,org.apache.tools.ant.types.Assertions$BaseAssertion,org.apache.tools.ant.types.Assertions$DisabledAssertion
12,2,org.apache.tools.ant.types.Assertions,org.apache.tools.ant.types.Assertions$BaseAssertion,org.apache.tools.ant.types.Assertions$EnabledAssertion
